2020-04-26 02:04:486 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-26 02:04:497 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-26 02:04:445 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-26 02:04:795 INFO  HomePage :25 - Clicking and send text to Adiminusername field [[ChromeDriver: chrome on WINDOWS (23e4cbd9a91c292b14ba28035bf2e088)] -> css selector: input#txtUsername]
2020-04-26 02:04:969 INFO  HomePage :31 - Click and send password admin123 to password field [[ChromeDriver: chrome on WINDOWS (23e4cbd9a91c292b14ba28035bf2e088)] -> css selector: input#txtPassword]
2020-04-26 02:04:53 INFO  HomePage :37 - Clicking on Login button :[[ChromeDriver: chrome on WINDOWS (23e4cbd9a91c292b14ba28035bf2e088)] -> css selector: input.button]
2020-04-27 13:04:638 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-27 14:04:701 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-27 14:04:754 INFO  HomePage :40 - Clicking and send text to Adiminusername field [[ChromeDriver: chrome on WINDOWS (e2d70a24f659bf9c05a7bb55530270b9)] -> css selector: input#txtUsername]
2020-04-27 14:04:13 INFO  HomePage :46 - Click and send password admin123 to password field [[ChromeDriver: chrome on WINDOWS (e2d70a24f659bf9c05a7bb55530270b9)] -> css selector: input#txtPassword]
2020-04-27 14:04:753 INFO  HomePage :52 - Clicking on Login button :[[ChromeDriver: chrome on WINDOWS (e2d70a24f659bf9c05a7bb55530270b9)] -> css selector: input.button]
2020-04-27 14:04:112 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-27 14:04:790 INFO  HomePage :40 - Clicking and send text to Adiminusername field [[ChromeDriver: chrome on WINDOWS (da28812f171ea6abc470dbbe324fd51f)] -> css selector: input#txtUsername]
2020-04-27 14:04:964 INFO  HomePage :46 - Click and send password admin123 to password field [[ChromeDriver: chrome on WINDOWS (da28812f171ea6abc470dbbe324fd51f)] -> css selector: input#txtPassword]
2020-04-27 14:04:827 INFO  HomePage :52 - Clicking on Login button :[[ChromeDriver: chrome on WINDOWS (da28812f171ea6abc470dbbe324fd51f)] -> css selector: input.button]
2020-04-27 14:04:848 INFO  BrowserSelector :18 - Launching Chrome Browser
